zip,irs_returns,irs_pop,irs_income,statefips,state,irs_mean_hh_income,irs_ui_pct,irs_pct_with_Kinc,irs_avg_K_income,irs_K_inc_reliance,irs_pct_with_LLCinc,irs_LLC_inc_reliance,irs_avg_mort,irs_mort_inc_ratio,irs_SSI_reliance,irs_EITC_pct,irs_avg_AGI,irs_mean_ind_income
01440,9150,16170,437199,25,"MA",47781.31,.0819672,.1016393,753.4426,.0157686,.0196721,.0082663,1369.617,.0286643,.0273743,.1814208,47321.86,27037.66
01450,5170,10640,685913,25,"MA",132671.8,.0560928,.3578337,7793.811,.0587451,.0793037,.0347376,4339.458,.0327082,.0151389,.0522244,130877,64465.51
01451,2440,5210,426829,25,"MA",174929.9,.0409836,.5081967,19671.31,.1124525,.1311475,.0756228,5456.147,.0311905,.0203641,.0286885,171382.8,81924.95
01452,2140,4140,151794,25,"MA",70931.77,.0700935,.1635514,1175.701,.0165751,.0373832,.0155013,2933.177,.0413521,.0229258,.0794393,70116.82,36665.22
01453,21030,37720,1169237,25,"MA",55598.53,.0789349,.1279125,1198.954,.0215645,.0294817,.0251369,1823.062,.0327898,.0237676,.1592962,54917.97,30997.8
01460,4490,8960,496903,25,"MA",110668.8,.0601336,.3273942,3836.748,.0346687,.0623608,.0201267,4136.971,.0373815,.0187159,.0534521,109255.7,55457.93
01462,5410,10270,417226,25,"MA",77121.26,.0739372,.219963,2586.691,.0335406,.0499076,.0232344,2887.8,.0374449,.0269183,.0868762,75850.27,40625.71
01463,5810,10950,440105,25,"MA",75749.57,.0740103,.1927711,1965.577,.0259484,.0413081,.0287409,3092.427,.0408243,.021947,.0843373,74811.53,40192.24
01464,2990,5630,209563,25,"MA",70087.96,.0769231,.180602,1334.448,.0190396,.0367893,.0183286,3114.047,.0444306,.0248756,.1003345,69307.36,37222.56
01468,2070,4030,126361,25,"MA",61043.96,.0724638,.1352657,523.6715,.0085786,.0241546,.0065922,2537.198,.0415635,.0265905,.0966184,60448.79,31355.09
01469,3580,6720,249697,25,"MA",69747.77,.0810056,.1536313,876.5363,.0125672,.0335196,.0108211,2715.643,.0389352,.0228717,.0921788,68998.05,37157.29
01473,3940,7380,309366,25,"MA",78519.29,.0761421,.2005076,1819.289,.02317,.0532995,.0920528,2883.249,.0367203,.02178,.0837563,77264.98,41919.51
01474,1040,1870,69971,25,"MA",67279.8,.0865385,.1730769,1128.846,.0167784,.0288462,.0147204,2976.923,.0442469,.0220949,.0673077,66296.16,37417.65
01475,4530,8670,238716,25,"MA",52696.69,.0905077,.0883002,428.4768,.008131,.0220751,.0137234,1790.949,.033986,.0214648,.1699779,52196.91,27533.56
01501,8530,15410,562548,25,"MA",65949.35,.0715123,.1641266,1020.75,.0154778,.0339977,.0183433,2568.464,.038946,.0293095,.087925,65245.14,36505.39
01503,1610,2910,149670,25,"MA",92962.73,.0559006,.2795031,4870.187,.0523886,.0869565,.0276475,3590.683,.038625,.0272065,.1055901,91628.57,51432.99
01504,4590,8370,277080,25,"MA",60366.01,.0958606,.1263617,703.9216,.0116609,.0239651,.0134041,2612.418,.0432763,.0206727,.1132898,59774.95,33103.94
01505,2350,4310,257664,25,"MA",109644.3,.0723404,.2978723,5420,.0494326,.0978723,.0616074,3758.723,.0342811,.0216755,.0553191,108006.4,59782.83
01506,1600,2960,92055,25,"MA",57534.38,.09375,.09375,456.875,.0079409,.01875,.0034545,2315.625,.0402477,.0279181,.1125,57043.13,31099.66
01507,6140,11870,449828,25,"MA",73261.89,.0798046,.1807818,1351.466,.0184471,.0488599,.0214215,3113.681,.0425007,.0228843,.0879479,72387.46,37896.21
01510,7590,13050,410803,25,"MA",54124.24,.085639,.113307,599.473,.0110759,.0250329,.009681,1874.572,.0346346,.0220154,.1422925,53603.29,31479.16
01515,1080,2140,69009,25,"MA",63897.22,.0833333,.1111111,617.5926,.0096654,.0277778,.0205336,2529.63,.039589,.0287354,.1111111,63148.15,32247.2
01516,4210,8440,311113,25,"MA",73898.58,.0783848,.1543943,1179.81,.0159653,.0380048,.017492,3542.518,.0479376,.0192245,.0902613,73064.61,36861.73
01518,1470,3000,139566,25,"MA",94942.86,.0680272,.2108843,1374.83,.0144806,.0544218,.0374518,3595.918,.0378746,.0215955,.1020408,94000.68,46522
01519,3380,6790,358063,25,"MA",105935.8,.0621302,.2781065,3173.077,.0299528,.0650888,.0323239,4142.308,.0391021,.0172009,.0591716,103915.1,52733.88
01520,7510,14920,671522,25,"MA",89417.05,.0545939,.2583222,3641.678,.0407269,.0625832,.0297652,3528.495,.0394611,.0280616,.057257,88229.3,45008.18
01521,1190,2130,75131,25,"MA",63135.29,.1008403,.1176471,559.6639,.0088645,.0420168,.0159588,2725.21,.0431646,.0287232,.1092437,62349.58,35272.77
01522,1750,3310,136187,25,"MA",77821.14,.0685714,.2057143,1347.429,.0173144,.0457143,.0266105,3207.428,.0412154,.0213089,.0685714,76726.29,41144.11
01523,2940,5690,261181,25,"MA",88837.08,.0680272,.2380952,2844.558,.0320199,.0714286,.0662721,3451.361,.0388505,.0257446,.0748299,87473.13,45901.76
